Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
CL0000001,C0016401,V0016401,10000,06-01-2025,1
CL0000002,C0016402,V0016402,10000,06-01-2025,1
CL0000003,C0016403,V0016403,10000,06-01-2025,1
CL0000004,C0016404,V0016404,10000,06-01-2025,1
CL0000005,C0016405,V0016405,10000,06-01-2025,1
CL0000006,C0016406,V0016406,10000,06-01-2025,1
CL0000007,C0016407,V0016407,10000,06-01-2025,1
CL0000008,C0016408,V0016408,10000,06-01-2025,1
CL0000009,C0016409,V0016409,10000,06-01-2025,1
CL0000010,C0016410,V0016410,10000,06-01-2025,1
CL0000011,C0016411,V0016411,10000,06-01-2025,1
CL0000012,C0016412,V0016412,10000,06-01-2025,1
CL0000013,C0016413,V0016413,10000,06-01-2025,1
CL0000014,C0016414,V0016414,10000,06-01-2025,1
CL0000015,C0016415,V0016415,10000,06-01-2025,1
CL0000016,C0016416,V0016416,10000,06-01-2025,1
CL0000017,C0016417,V0016417,10000,06-01-2025,1
CL0000018,C0016418,V0016418,10000,06-01-2025,1
CL0000019,C0016419,V0016419,10000,06-01-2025,1
CL0000020,C0016420,V0016420,10000,06-01-2025,1
CL0000021,C0016421,V0016421,10000,06-01-2025,1
CL0000022,C0016422,V0016422,10000,06-01-2025,1
CL0000023,C0016423,V0016423,10000,06-01-2025,1
CL0000024,C0016424,V0016424,10000,06-01-2025,1
CL0000025,C0016425,V0016425,10000,06-01-2025,1
CL0000026,C0016426,V0016426,10000,06-01-2025,1
CL0000027,C0016427,V0016427,10000,06-01-2025,1
CL0000028,C0016428,V0016428,10000,06-01-2025,1
CL0000029,C0016429,V0016429,10000,06-01-2025,1
CL0000030,C0016430,V0016430,10000,06-01-2025,1
CL0000031,C0016431,V0016431,10000,06-01-2025,1
CL0000032,C0016432,V0016432,10000,06-01-2025,1
CL0000033,C0016433,V0016433,10000,06-01-2025,1
CL0000034,C0016434,V0016434,10000,06-01-2025,1
CL0000035,C0016435,V0016435,10000,06-01-2025,1
CL0000036,C0016436,V0016436,10000,06-01-2025,1
CL0000037,C0016437,V0016437,10000,06-01-2025,1
CL0000038,C0016438,V0016438,10000,06-01-2025,1
CL0000039,C0016439,V0016439,10000,06-01-2025,1
CL0000040,C0016440,V0016440,10000,06-01-2025,1
CL0000041,C0016441,V0016441,10000,06-01-2025,1
CL0000042,C0016442,V0016442,10000,06-01-2025,1
CL0000043,C0016443,V0016443,10000,06-01-2025,1
CL0000044,C0016444,V0016444,10000,06-01-2025,1
